Year_BP,GHG_Forcing
248.0,-0.08600000000000001
249.0,-0.085
250.0,-0.086
251.0,-0.087
252.0,-0.087
253.0,-0.087
254.0,-0.087
255.0,-0.087
256.0,-0.088
257.0,-0.087
258.0,-0.087
259.0,-0.087
260.0,-0.086
261.0,-0.08499999999999999
262.0,-0.08399999999999999
263.0,-0.08499999999999999
264.0,-0.084
265.0,-0.083
266.0,-0.084
267.0,-0.083
268.0,-0.083
269.0,-0.083
270.0,-0.084
271.0,-0.085
272.0,-0.085
273.0,-0.085
274.0,-0.08600000000000001
275.0,-0.08600000000000001
276.0,-0.08600000000000001
277.0,-0.08800000000000001
278.0,-0.08900000000000001
279.0,-0.08900000000000001
280.0,-0.08900000000000001
281.0,-0.09
282.0,-0.09
283.0,-0.091
284.0,-0.092
285.0,-0.093
286.0,-0.094
287.0,-0.095
288.0,-0.096
289.0,-0.097
290.0,-0.098
291.0,-0.09899999999999999
292.0,-0.09899999999999999
293.0,-0.09999999999999999
294.0,-0.10099999999999999
295.0,-0.10099999999999999
296.0,-0.10099999999999999
297.0,-0.09999999999999999
298.0,-0.09999999999999999
299.0,-0.09999999999999999
300.0,-0.09899999999999999
301.0,-0.09899999999999999
302.0,-0.098
303.0,-0.097
304.0,-0.097
305.0,-0.095
306.0,-0.094
307.0,-0.095
308.0,-0.094
309.0,-0.094
310.0,-0.093
311.0,-0.092
312.0,-0.091
313.0,-0.091
314.0,-0.09
315.0,-0.089
316.0,-0.089
317.0,-0.089
318.0,-0.089
319.0,-0.088
320.0,-0.088
321.0,-0.088
322.0,-0.088
323.0,-0.088
324.0,-0.088
325.0,-0.088
326.0,-0.088
327.0,-0.087
328.0,-0.088
329.0,-0.08800000000000001
330.0,-0.08800000000000001
331.0,-0.08800000000000001
332.0,-0.08800000000000001
333.0,-0.08700000000000001
334.0,-0.087
335.0,-0.087
336.0,-0.086
337.0,-0.08499999999999999
338.0,-0.08399999999999999
339.0,-0.082
340.0,-0.081
341.0,-0.081
342.0,-0.08
343.0,-0.078
344.0,-0.077
345.0,-0.077
346.0,-0.075
347.0,-0.074
348.0,-0.072
349.0,-0.07200000000000001
350.0,-0.07
351.0,-0.068
352.0,-0.066
353.0,-0.065
354.0,-0.063
355.0,-0.061
356.0,-0.059
357.0,-0.057999999999999996
358.0,-0.055
359.0,-0.053
360.0,-0.049999999999999996
361.0,-0.048
362.0,-0.046
363.0,-0.044
364.0,-0.041999999999999996
365.0,-0.04
366.0,-0.037
367.0,-0.034999999999999996
368.0,-0.030999999999999996
369.0,-0.028999999999999995
370.0,-0.027
371.0,-0.024000000000000004
372.0,-0.02
373.0,-0.016999999999999998
374.0,-0.014999999999999996
375.0,-0.012
376.0,-0.008999999999999998
377.0,-0.006000000000000002
378.0,-0.0009999999999999974
379.0,0.002999999999999999
380.0,0.005999999999999995
381.0,0.008999999999999998
382.0,0.012
383.0,0.015000000000000003
384.0,0.018000000000000002
385.0,0.021
386.0,0.023000000000000003
387.0,0.025000000000000005
388.0,0.028999999999999998
389.0,0.03
390.0,0.032
391.0,0.034
392.0,0.035
393.0,0.036000000000000004
394.0,0.038000000000000006
395.0,0.03899999999999999
396.0,0.04099999999999999
397.0,0.04199999999999999
398.0,0.04399999999999999
399.0,0.04599999999999999
400.0,0.04699999999999999
401.0,0.047999999999999994
402.0,0.047999999999999994
403.0,0.048999999999999995
404.0,0.049999999999999996
405.0,0.049999999999999996
406.0,0.051
407.0,0.049999999999999996
408.0,0.051
409.0,0.05
410.0,0.052000000000000005
411.0,0.051000000000000004
412.0,0.052000000000000005
413.0,0.051000000000000004
414.0,0.051000000000000004
415.0,0.051000000000000004
416.0,0.05
417.0,0.051000000000000004
418.0,0.051000000000000004
419.0,0.051000000000000004
420.0,0.051000000000000004
421.0,0.051000000000000004
422.0,0.051000000000000004
423.0,0.051000000000000004
424.0,0.051000000000000004
425.0,0.051000000000000004
426.0,0.05000000000000001
427.0,0.05000000000000001
428.0,0.05000000000000001
429.0,0.04800000000000001
430.0,0.04800000000000001
431.0,0.04700000000000001
432.0,0.046000000000000006
433.0,0.045000000000000005
434.0,0.044000000000000004
435.0,0.043000000000000003
436.0,0.042
437.0,0.042
438.0,0.04
439.0,0.04
440.0,0.039
441.0,0.039
442.0,0.037
443.0,0.036
444.0,0.034999999999999996
445.0,0.033999999999999996
446.0,0.031999999999999994
447.0,0.031
448.0,0.028999999999999998
449.0,0.026999999999999996
450.0,0.02500000000000001
451.0,0.024000000000000007
452.0,0.022000000000000006
453.0,0.01900000000000001
454.0,0.017000000000000008
455.0,0.015000000000000005
456.0,0.013000000000000003
457.0,0.011000000000000001
458.0,0.009
459.0,0.0069999999999999975
460.0,0.006000000000000003
461.0,0.004000000000000001
462.0,0.003
463.0,0.003
464.0,0.0009999999999999983
465.0,4.336808689942018e-18
466.0,-0.0009999999999999966
467.0,-0.0019999999999999974
468.0,-0.0019999999999999974
469.0,-0.003999999999999999
470.0,-0.005
471.0,-0.006000000000000001
472.0,-0.007000000000000002
473.0,-0.008000000000000004
474.0,-0.010000000000000005
475.0,-0.012
476.0,-0.012
477.0,-0.014000000000000002
478.0,-0.015000000000000003
479.0,-0.015999999999999997
480.0,-0.016999999999999998
481.0,-0.016999999999999998
482.0,-0.018
483.0,-0.018
484.0,-0.019
485.0,-0.019
486.0,-0.019
487.0,-0.018000000000000006
488.0,-0.019000000000000006
489.0,-0.019000000000000006
490.0,-0.02
491.0,-0.019
492.0,-0.02
493.0,-0.02
494.0,-0.019
495.0,-0.02
496.0,-0.02
497.0,-0.02
498.0,-0.02
499.0,-0.021
500.0,-0.021
501.0,-0.021
502.0,-0.021
503.0,-0.022000000000000002
504.0,-0.022000000000000002
505.0,-0.022000000000000002
506.0,-0.023000000000000003
507.0,-0.023000000000000003
508.0,-0.023000000000000003
509.0,-0.023000000000000003
510.0,-0.023000000000000003
511.0,-0.023000000000000003
512.0,-0.024000000000000004
513.0,-0.024000000000000004
514.0,-0.024000000000000004
515.0,-0.024000000000000004
516.0,-0.024000000000000004
517.0,-0.024000000000000004
518.0,-0.024000000000000004
519.0,-0.024999999999999998
520.0,-0.024999999999999998
521.0,-0.024999999999999998
522.0,-0.024999999999999998
523.0,-0.024999999999999998
524.0,-0.024999999999999998
525.0,-0.024999999999999998
526.0,-0.024999999999999998
527.0,-0.026
528.0,-0.026
529.0,-0.024999999999999998
530.0,-0.026
531.0,-0.026
532.0,-0.026
533.0,-0.024999999999999998
534.0,-0.024999999999999998
535.0,-0.023999999999999997
536.0,-0.023999999999999997
537.0,-0.022999999999999996
538.0,-0.022999999999999996
539.0,-0.021999999999999995
540.0,-0.021999999999999995
541.0,-0.02
542.0,-0.02
543.0,-0.019
544.0,-0.018
545.0,-0.017000000000000005
546.0,-0.016000000000000004
547.0,-0.015000000000000003
548.0,-0.014000000000000002
549.0,-0.014000000000000002
550.0,-0.012
551.0,-0.012
552.0,-0.012
553.0,-0.011
554.0,-0.011
555.0,-0.009999999999999998
556.0,-0.008999999999999998
557.0,-0.008999999999999998
558.0,-0.008999999999999998
559.0,-0.008999999999999998
560.0,-0.006999999999999997
561.0,-0.006999999999999997
562.0,-0.005999999999999996
563.0,-0.004999999999999995
564.0,-0.003999999999999994
565.0,-0.003999999999999994
566.0,-0.002000000000000006
567.0,-0.002000000000000006
568.0,-0.002000000000000006
569.0,-0.002000000000000006
570.0,-0.0010000000000000052
571.0,-0.001999999999999999
572.0,-0.001999999999999999
573.0,-0.001999999999999999
574.0,-0.001999999999999999
575.0,-0.001999999999999999
576.0,-0.003
577.0,-0.003
578.0,-0.003
579.0,-0.003
580.0,-0.003
581.0,-0.004000000000000001
582.0,-0.004000000000000001
583.0,-0.003
584.0,-0.004000000000000001
585.0,-0.004000000000000001
586.0,-0.004000000000000001
587.0,-0.005000000000000002
588.0,-0.004000000000000001
589.0,-0.005000000000000002
590.0,-0.005000000000000002
591.0,-0.005000000000000002
592.0,-0.005999999999999996
593.0,-0.005999999999999996
594.0,-0.005999999999999996
595.0,-0.004999999999999995
596.0,-0.004999999999999995
597.0,-0.004999999999999995
598.0,-0.005999999999999996
599.0,-0.005999999999999996
600.0,-0.004999999999999995
601.0,-0.003999999999999994
602.0,-0.003999999999999994
603.0,-0.003999999999999994
604.0,-0.003999999999999994
605.0,-0.003999999999999994
606.0,-0.003999999999999994
607.0,-0.002000000000000006
608.0,-0.002000000000000006
609.0,-0.002000000000000006
610.0,-0.002000000000000006
611.0,-0.0010000000000000052
612.0,-4.336808689942018e-18
613.0,-4.336808689942018e-18
614.0,-4.336808689942018e-18
615.0,-4.336808689942018e-18
616.0,0.0009999999999999966
617.0,0.0009999999999999966
618.0,0.0009999999999999966
619.0,0.0019999999999999974
620.0,0.0019999999999999983
621.0,0.0019999999999999983
622.0,0.002999999999999999
623.0,0.002999999999999999
624.0,0.004
625.0,0.005000000000000001
626.0,0.005000000000000001
627.0,0.006000000000000002
628.0,0.006000000000000002
629.0,0.006999999999999996
630.0,0.006999999999999996
631.0,0.007999999999999997
632.0,0.007999999999999997
633.0,0.007999999999999997
634.0,0.007999999999999997
635.0,0.007999999999999997
636.0,0.007999999999999997
637.0,0.007999999999999997
638.0,0.008999999999999998
639.0,0.008999999999999998
640.0,0.008999999999999998
641.0,0.007999999999999997
642.0,0.007999999999999997
643.0,0.007999999999999997
644.0,0.007999999999999997
645.0,0.007999999999999997
646.0,0.007999999999999997
647.0,0.007999999999999997
648.0,0.006999999999999996
649.0,0.005999999999999995
650.0,0.004999999999999994
651.0,0.004
652.0,0.002999999999999999
653.0,0.002999999999999999
654.0,0.0019999999999999983
655.0,3.469446951953614e-18
656.0,-0.0009999999999999974
657.0,-0.0019999999999999983
658.0,-0.002999999999999999
659.0,-0.002999999999999999
660.0,-0.004
661.0,-0.005000000000000001
662.0,-0.005999999999999995
663.0,-0.005999999999999995
664.0,-0.006999999999999996
665.0,-0.006999999999999996
666.0,-0.006999999999999996
667.0,-0.006999999999999996
668.0,-0.006999999999999996
669.0,-0.006999999999999996
670.0,-0.006999999999999996
671.0,-0.006999999999999996
672.0,-0.006999999999999996
673.0,-0.005999999999999995
674.0,-0.005999999999999995
675.0,-0.005999999999999995
676.0,-0.005999999999999995
677.0,-0.005999999999999995
678.0,-0.005000000000000001
679.0,-0.005000000000000001
680.0,-0.005000000000000001
681.0,-0.005000000000000001
682.0,-0.005000000000000001
683.0,-0.004999999999999994
684.0,-0.004999999999999994
685.0,-0.005999999999999995
686.0,-0.005999999999999995
687.0,-0.007999999999999997
688.0,-0.007999999999999997
689.0,-0.008000000000000004
690.0,-0.008000000000000004
691.0,-0.009000000000000005
692.0,-0.009000000000000005
693.0,-0.009000000000000005
694.0,-0.007000000000000002
695.0,-0.007000000000000002
696.0,-0.007000000000000002
697.0,-0.007000000000000002
698.0,-0.005
699.0,-0.005
700.0,-0.005
701.0,-0.005
702.0,-0.003999999999999999
703.0,-0.003999999999999999
704.0,-0.003999999999999999
705.0,-0.0029999999999999983
706.0,-0.0029999999999999983
707.0,-0.0029999999999999983
708.0,-0.0009999999999999966
709.0,-0.0009999999999999966
710.0,-0.0009999999999999966
711.0,4.336808689942018e-18
712.0,4.336808689942018e-18
713.0,0.0010000000000000052
714.0,0.0010000000000000052
715.0,0.0010000000000000052
716.0,0.003000000000000007
717.0,0.002000000000000006
718.0,0.003000000000000007
719.0,0.003000000000000007
720.0,0.004000000000000008
721.0,0.004000000000000008
722.0,0.005000000000000009
723.0,0.005000000000000009
724.0,0.005000000000000009
725.0,0.005999999999999996
726.0,0.005999999999999996
727.0,0.006999999999999997
728.0,0.006999999999999997
729.0,0.007999999999999997
730.0,0.008999999999999998
731.0,0.009999999999999998
732.0,0.010999999999999992
733.0,0.011999999999999993
734.0,0.012999999999999994
735.0,0.012999999999999996
736.0,0.013999999999999997
737.0,0.013999999999999997
738.0,0.016
739.0,0.017
740.0,0.018000000000000002
741.0,0.019000000000000003
742.0,0.020000000000000004
743.0,0.022000000000000006
744.0,0.023
745.0,0.025
746.0,0.025
747.0,0.026000000000000002
748.0,0.028000000000000004
749.0,0.029000000000000005
750.0,0.029000000000000005
751.0,0.030000000000000006
752.0,0.031000000000000007
753.0,0.031000000000000007
754.0,0.03200000000000001
755.0,0.03200000000000001
756.0,0.03200000000000001
757.0,0.03200000000000001
758.0,0.03200000000000001
759.0,0.03200000000000001
760.0,0.03300000000000001
761.0,0.03200000000000001
762.0,0.03200000000000001
763.0,0.03200000000000001
764.0,0.03300000000000001
765.0,0.03300000000000001
766.0,0.03200000000000001
767.0,0.03200000000000001
768.0,0.03200000000000001
769.0,0.032999999999999995
770.0,0.032999999999999995
771.0,0.032999999999999995
772.0,0.032999999999999995
773.0,0.032999999999999995
774.0,0.032999999999999995
775.0,0.033999999999999996
776.0,0.032999999999999995
777.0,0.032999999999999995
778.0,0.032999999999999995
779.0,0.032999999999999995
780.0,0.033999999999999996
781.0,0.033999999999999996
782.0,0.033999999999999996
783.0,0.034999999999999996
784.0,0.034999999999999996
785.0,0.034999999999999996
786.0,0.034999999999999996
787.0,0.034999999999999996
788.0,0.034999999999999996
789.0,0.034999999999999996
790.0,0.034999999999999996
791.0,0.033999999999999996
792.0,0.033999999999999996
793.0,0.033999999999999996
794.0,0.033999999999999996
795.0,0.033999999999999996
796.0,0.032999999999999995
797.0,0.033999999999999996
798.0,0.033999999999999996
799.0,0.033999999999999996
800.0,0.032999999999999995
801.0,0.032999999999999995
802.0,0.032999999999999995
803.0,0.032999999999999995
804.0,0.032999999999999995
805.0,0.032999999999999995
806.0,0.031999999999999994
807.0,0.031999999999999994
808.0,0.031999999999999994
809.0,0.031999999999999994
810.0,0.031
811.0,0.031
812.0,0.028999999999999998
813.0,0.028999999999999998
814.0,0.027999999999999997
815.0,0.026999999999999996
816.0,0.026999999999999996
817.0,0.025999999999999995
818.0,0.025999999999999995
819.0,0.025999999999999995
820.0,0.024999999999999994
821.0,0.024999999999999994
822.0,0.024999999999999994
823.0,0.024999999999999994
824.0,0.024999999999999994
825.0,0.024999999999999994
826.0,0.024999999999999994
827.0,0.025999999999999995
828.0,0.025999999999999995
829.0,0.025999999999999995
830.0,0.025999999999999995
831.0,0.026999999999999996
832.0,0.026999999999999996
833.0,0.026999999999999996
834.0,0.026999999999999996
835.0,0.027999999999999997
836.0,0.027999999999999997
837.0,0.027999999999999997
838.0,0.027999999999999997
839.0,0.026999999999999996
840.0,0.026999999999999996
841.0,0.026999999999999996
842.0,0.026999999999999996
843.0,0.026999999999999996
844.0,0.026999999999999996
845.0,0.026999999999999996
846.0,0.026999999999999996
847.0,0.025999999999999995
848.0,0.025999999999999995
849.0,0.025999999999999995
850.0,0.024999999999999994
851.0,0.024999999999999994
852.0,0.023000000000000007
853.0,0.023000000000000007
854.0,0.023000000000000007
855.0,0.022000000000000006
856.0,0.021000000000000005
857.0,0.020000000000000004
858.0,0.019000000000000003
859.0,0.018000000000000002
860.0,0.017
861.0,0.016
862.0,0.014000000000000007
863.0,0.013000000000000006
864.0,0.012000000000000005
865.0,0.011000000000000005
866.0,0.010000000000000004
867.0,0.008000000000000002
868.0,0.008000000000000002
869.0,0.006
870.0,0.006
871.0,0.003999999999999998
872.0,0.003999999999999998
873.0,0.0019999999999999966
874.0,0.0009999999999999957
875.0,-5.204170427930421e-18
876.0,-0.001000000000000006
877.0,-0.002000000000000007
878.0,-0.003000000000000008
879.0,-0.002000000000000007
880.0,-0.003000000000000008
881.0,-0.002000000000000007
882.0,-0.001000000000000006
883.0,-0.001000000000000006
884.0,-5.204170427930421e-18
885.0,8.673617379884035e-18
886.0,0.0010000000000000026
887.0,0.0010000000000000026
888.0,0.0030000000000000044
889.0,0.0020000000000000035
890.0,0.0020000000000000035
891.0,0.0010000000000000026
892.0,0.0020000000000000035
893.0,0.0010000000000000026
894.0,1.734723475976807e-18
895.0,-0.002
896.0,-0.002
897.0,-0.003000000000000001
898.0,-0.004000000000000002
899.0,-0.004000000000000002
900.0,-0.004000000000000002
901.0,-0.004999999999999996
902.0,-0.005999999999999997
903.0,-0.005999999999999997
904.0,-0.0069999999999999975
905.0,-0.0069999999999999975
906.0,-0.007999999999999998
907.0,-0.009
908.0,-0.01
909.0,-0.011000000000000001
910.0,-0.011000000000000001
911.0,-0.011999999999999995
912.0,-0.012999999999999996
913.0,-0.013999999999999997
914.0,-0.013999999999999997
915.0,-0.014999999999999998
916.0,-0.016999999999999998
917.0,-0.018
918.0,-0.018
919.0,-0.019
920.0,-0.02
921.0,-0.021999999999999995
922.0,-0.021999999999999995
923.0,-0.023999999999999997
924.0,-0.026
925.0,-0.027
926.0,-0.029
927.0,-0.031000000000000003
928.0,-0.032
929.0,-0.034
930.0,-0.036000000000000004
931.0,-0.037000000000000005
932.0,-0.03899999999999999
933.0,-0.040999999999999995
934.0,-0.041999999999999996
935.0,-0.044
936.0,-0.045
937.0,-0.046
938.0,-0.048
939.0,-0.049
940.0,-0.05
941.0,-0.052000000000000005
942.0,-0.052000000000000005
943.0,-0.05399999999999999
944.0,-0.05499999999999999
945.0,-0.05499999999999999
946.0,-0.056999999999999995
947.0,-0.056999999999999995
948.0,-0.05700000000000001
949.0,-0.05800000000000001
950.0,-0.05800000000000001
951.0,-0.05800000000000001
952.0,-0.05900000000000001
953.0,-0.05900000000000001
954.0,-0.06
955.0,-0.06
956.0,-0.061
957.0,-0.063
958.0,-0.063
959.0,-0.06499999999999999
960.0,-0.06599999999999999
961.0,-0.06799999999999999
962.0,-0.06899999999999999
963.0,-0.06999999999999999
964.0,-0.072
965.0,-0.072
966.0,-0.074
967.0,-0.074
968.0,-0.075
969.0,-0.074
970.0,-0.075
971.0,-0.075
972.0,-0.075
973.0,-0.075
974.0,-0.076
975.0,-0.076
976.0,-0.076
977.0,-0.076
978.0,-0.077
979.0,-0.077
980.0,-0.07699999999999999
981.0,-0.07799999999999999
982.0,-0.07899999999999999
983.0,-0.07899999999999999
984.0,-0.08099999999999999
985.0,-0.08199999999999999
986.0,-0.08299999999999999
987.0,-0.08499999999999999
988.0,-0.086
989.0,-0.088
990.0,-0.089
991.0,-0.09
992.0,-0.091
993.0,-0.092
994.0,-0.093
995.0,-0.094
996.0,-0.095
997.0,-0.095
998.0,-0.097
999.0,-0.097
1000.0,-0.099
1000.9999999999999,-0.1
1002.0,-0.10099999999999999
1002.9999999999999,-0.10099999999999999
1004.0,-0.103
1004.9999999999999,-0.103
1006.0,-0.103
1006.9999999999999,-0.103
1008.0,-0.103
1008.9999999999999,-0.103
1010.0,-0.10200000000000001
1010.9999999999999,-0.101
1012.0,-0.1
1012.9999999999999,-0.1
1014.0,-0.099
1014.9999999999999,-0.098
1016.0,-0.097
1016.9999999999999,-0.097
1018.0,-0.098
1018.9999999999999,-0.098
1020.0,-0.098
1020.9999999999999,-0.098
1022.0,-0.098
1022.9999999999999,-0.099
1024.0,-0.1
1025.0,-0.101
1026.0,-0.101
1027.0,-0.101
1028.0,-0.101
1029.0,-0.10200000000000001
1030.0,-0.10200000000000001
1031.0,-0.10300000000000001
1032.0,-0.10300000000000001
1033.0,-0.10400000000000001
1034.0,-0.10400000000000001
1035.0,-0.10400000000000001
1036.0,-0.10500000000000001
1037.0,-0.10500000000000001
1038.0,-0.10600000000000001
1039.0,-0.10600000000000001
1040.0,-0.10600000000000001
1041.0,-0.10700000000000001
1042.0,-0.10700000000000001
1043.0,-0.108
1044.0,-0.108
1045.0,-0.109
1046.0,-0.109
1047.0,-0.109
1048.0,-0.109
1049.0,-0.11
1050.0,-0.109
1051.0,-0.109
1052.0,-0.109
1053.0,-0.109
1054.0,-0.108
1055.0,-0.108
1056.0,-0.108
1057.0,-0.107
1058.0,-0.107
1059.0,-0.106
1060.0,-0.105
1061.0,-0.105
1062.0,-0.104
1063.0,-0.104
1064.0,-0.103
1065.0,-0.103
1066.0,-0.103
1067.0,-0.103
1068.0,-0.103
1069.0,-0.103
1070.0,-0.103
1071.0,-0.104
1072.0,-0.105
1073.0,-0.105
1074.0,-0.105
1075.0,-0.105
1076.0,-0.105
1077.0,-0.105
1078.0,-0.104
1079.0,-0.104
1080.0,-0.104
1081.0,-0.104
1082.0,-0.104
1083.0,-0.105
1084.0,-0.105
1085.0,-0.106
1086.0,-0.107
1087.0,-0.108
1088.0,-0.109
1089.0,-0.11
1090.0,-0.111
1091.0,-0.112
1092.0,-0.114
1093.0,-0.115
1094.0,-0.115
1095.0,-0.116
1096.0,-0.116
1097.0,-0.116
1098.0,-0.116
1099.0,-0.116
1100.0,-0.116
1101.0,-0.116
1102.0,-0.116
1103.0,-0.116
1104.0,-0.116
1105.0,-0.116
1106.0,-0.116
1107.0,-0.116
1108.0,-0.116
1109.0,-0.116
1110.0,-0.116
1111.0,-0.115
1112.0,-0.116
1113.0,-0.116
1114.0,-0.115
1115.0,-0.115
1116.0,-0.114
1117.0,-0.114
1118.0,-0.113
1119.0,-0.113
1120.0,-0.113
1121.0,-0.113
1122.0,-0.113
1123.0,-0.113
1124.0,-0.114
1125.0,-0.114
1126.0,-0.115
1127.0,-0.116
1128.0,-0.116
1129.0,-0.117
1130.0,-0.11800000000000001
1131.0,-0.11900000000000001
1132.0,-0.12100000000000001
1133.0,-0.12100000000000001
1134.0,-0.12200000000000001
1135.0,-0.12400000000000001
1136.0,-0.125
1137.0,-0.126
1138.0,-0.127
1139.0,-0.129
1140.0,-0.13
1141.0,-0.131
1142.0,-0.132
1143.0,-0.133
1144.0,-0.133
1145.0,-0.134
1146.0,-0.135
1147.0,-0.134
1148.0,-0.134
1149.0,-0.134
1150.0,-0.134
1151.0,-0.135
1152.0,-0.135
1153.0,-0.135
1154.0,-0.135
